title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
Marakkar Arabikadalinte Simham Official Trailer | Mohanlal | Priyadarshan | Manju Warrier,HdFxWg08D54,3134940,209916,13233,40080,0
"Kilometers &amp; Kilometers | Official Trailer | Tovino Thomas, India Jarvis | Jeo Baby | HD",TWiwVCx3II4,487935,30673,518,762,0
"FORENSIC - Malayalam Movie |Official Trailer | Tovino Thomas | Mamtha Mohandas |Akhil Paul,Anas Khan",zTBzGaiAzwY,2133359,86757,1488,3726,0
"TRANCE Malayalam Movie | 4K Official Trailer | Fahadh Faasil, Nazriya Nazim | Anwar Rasheed",uSudz8zb2I8,3202508,140417,3346,6174,0
Vaanku | Official Trailer | Kavya Prakash | 7J Films | Vineeth | Anaswara Rajan | Ouseppachan,fQ3dcc9P4eo,327916,8470,688,519,0
Ayyappanum Koshiyum | Official Trailer | Prithviraj | Biju Menon | Sachy | Ranjith | Jakes Bejoy,8Wx3dAQ8pr4,2868910,88677,1593,3362,0
"MARAIKKAYAR - Official Tamil Trailer | Mohanlal, Arjun, Prabhu, Suniel Shetty | Priyadarshan",LAi1oTG7Hks,1341329,81916,2484,3995,0
TRANCE | Jaalame Video Song | Fahadh Faasil | Jackson Vijayan | Anwar Rasheed | Official,1X7Fi_hTI8k,236905,6661,268,516,0
VARANE AVASHYAMUND Official Trailer I Dulquer Salmaan I Suresh Gopi I Shobana I Kalyani I Anoop,M3i-VGCY69c,2517836,86725,1828,4582,0
Paapam Cheyyathavar Kalleriyatte | Official Trailer | Vinay Forrt | Shambhu Purushothaman,4BxSLZnnH7w,669811,15804,445,476,0
Big Brother | Mohanlal | Arbaaz Khan | Siddique  | Upcoming Malayalam Movie | Official Trailer,GAY3jdx1PoA,2000013,72096,7536,5325,0
Marakkar Trailer Telugu | Mohanlal | Keerthy Suresh | Suhasini | Arjun | Priyadarshan | Kalyani,E_mLOUtqBrw,2393353,58848,1819,2783,0
"MARAKKAR - Official Kannada Trailer | Mohanlal, Arjun, Prabhu, Suniel Shetty | Priyadarshan",HwE8UE8d5_k,434931,36365,869,3091,0
Kappela | Official Trailer | Anna Ben | Roshan Mathew | Sreenath Bhasi | Muhammad Musthafa,ZS9OU-NXlmg,563892,23146,240,591,0
"TRANCE Malayalam Movie|Noolupoya Video Song|FahadhFaasil,Nazriya Nazim|Jackson Vijayan|Anwar Rasheed",xUwqjU283pY,5837114,155559,3488,4596,0
ANJAAM PATHIRAA - Official Trailer | Kunchacko Boban | Midhun Manuel Thomas |Ashiq Usman Productions,dn5KZD1E67Y,2657512,89667,959,4075,0
One Malayalam Movie Official Teaser | Mammootty | Santhosh Viswanath | Bobby &amp; Sanjay,UlFCjXkVcCU,957753,68394,1854,3637,0
MOOTHON | 2019 Malayalam Movie | Nivin Pauly | Sanjana Dipu | Mirror Scene,MxzptWOI48A,61663,1656,25,221,0
Silence Trailer : Malayalam | Anushka Shetty | R Madhavan | Anjali | Shalini | Hemant Madhukar,3bXzQ3WnzQs,33466,810,28,42,0
Love FM  Official Trailer | Sarath Appani  | TITO WILSON |Sreedev Kappur |Gopi Sunder,waa0F5z12J0,201672,1097,65,63,0
"THE KUNG FU MASTER Malayalam Movie - Official Trailer| Abrid Shine|Neeta Pillai,Jiji Scaria,Sanoop D",k9TxuIYqS-g,860884,22027,877,1238,0
4G Malayalam Movie Trailer | Dhanya Balakrishna | Tridha Choudhury |  Komalee Prasad | Siddhi Idnani,cinHEOUR9qs,49962,372,69,32,0
Aaha | Official Teaser | Indrajith | Bibin Paul Samuel | Prem Abraham | Zsazsa Productions |Sayanora,ABnCefrUqFE,648817,31344,310,956,0
"Marakkar: Arabikadalinte Simham| trailer reaction. Mohanlal, Priyadarshan",8bc1INw_61E,9216,361,110,49,0
Nishabdham Trailer : Hindi | Anushka Shetty | R Madhavan | Anjali | Shalini Pandey | Hemant Madhukar,tJv_GN4AAfE,474674,2537,43,141,0
